STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,WT14,WT01,WT02,WT04,WT13,WT16,WT08,WT18,WT03
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130131,71,0,0,189,0,77,210,200,148,192,-9999,-9999,1,-9999,-9999,1,1,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130201,3,0,5,22,-61,59,290,290,139,201,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130202,5,0,5,6,-78,30,190,190,98,116,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,1,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130203,0,0,0,17,-28,21,320,330,107,143,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,1,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130204,0,0,0,28,-33,31,290,290,89,130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130205,0,0,0,56,11,20,60,10,40,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130206,0,0,0,94,11,36,340,330,103,130,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130207,0,0,0,50,0,25,60,60,67,76,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130208,51,0,0,67,11,55,330,330,143,206,-9999,1,-9999,-9999,-9999,1,1,1,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130209,0,0,0,61,-6,79,340,330,156,192,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130210,0,0,0,78,-33,26,170,220,58,76,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130211,71,0,0,122,33,41,200,200,80,103,-9999,1,1,-9999,-9999,1,1,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130212,0,0,0,150,44,39,340,340,94,125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130213,48,0,0,89,11,31,330,330,63,72,-9999,-9999,1,-9999,-9999,1,1,-9999,1,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130214,0,0,0,100,17,28,330,320,76,94,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130215,25,0,0,156,22,38,320,330,125,161,-9999,-9999,1,-9999,-9999,1,1,-9999,1,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130216,5,0,0,50,6,45,340,320,98,134,-9999,-9999,1,-9999,-9999,-9999,1,-9999,1,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130217,0,0,0,11,-33,75,290,310,130,174,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130218,0,0,0,56,-56,36,320,320,72,103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130219,18,0,0,83,33,57,200,190,112,134,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130220,0,0,0,50,-28,73,320,320,130,170,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130221,0,0,0,50,-39,57,320,320,98,134,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130222,15,0,0,17,-6,26,20,10,76,94,-9999,1,-9999,-9999,1,-9999,1,-9999,1,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130223,20,0,0,78,11,27,340,10,54,80,-9999,1,1,-9999,-9999,1,1,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130224,0,0,0,122,17,62,330,340,143,183,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130225,0,0,0,111,-11,21,320,10,76,103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130226,157,0,0,78,6,45,70,80,112,139,-9999,1,1,-9999,-9999,1,1,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130227,3,0,0,144,56,35,270,290,72,94,-9999,1,1,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130228,3,0,0,94,56,47,280,350,94,161,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130301,0,0,0,78,33,59,310,310,94,125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130302,0,0,0,39,0,55,330,310,80,107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130303,0,0,0,67,-11,60,340,340,112,139,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130304,0,0,0,78,-11,61,330,330,112,156,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130305,0,0,0,117,0,36,100,100,76,98,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20130306,262,0,5,50,11,92,350,350,174,215,-9999,-9999,1,-9999,-9999,1,1,-9999,1,-9999
